dataset,algorithm,mean_cost,std_cost,best_cost,mean_runtime_s,avg_gap_pct,wins,win_rate_pct
real_pv,GA (P=100),13.608843426861254,11.585460004339438,0.24921465215171423,0.1564609482884407,0.9648411185438998,10,62.5
real_pv,GA (P=50),13.902049360459182,11.434379691138718,0.9642890116719629,0.07883922010660172,32.084563641028964,3,18.75
real_pv,GWO,14.22696768652845,11.123392385245253,1.5091516611219256,0.11883701384067535,60.64699862958439,3,18.75
real_pv,Hybrid,15.432673248246896,11.522771617293932,2.0376082521294654,0.06602814048528671,82.19535423061987,0,0.0
real_pv,PSO,16.703751432517517,10.883075220846234,2.5029074552340087,0.055227406322956085,159.08342289714525,0,0.0
synthetic,GA (P=100),10.465185316619742,7.111904787907332,4.033786641120499,0.1587541475892067,0.9135964563198207,12,75.0
synthetic,GA (P=50),10.836596686142325,7.129344841168684,4.372659416589381,0.08004997670650482,4.245462696168248,3,18.75
synthetic,GWO,11.615543047010517,7.512591987743938,4.825108127783585,0.12004532665014267,10.797333335102737,1,6.25
synthetic,Hybrid,12.977584818327538,7.0043438022771545,6.100118432156742,0.06722992658615112,28.145898689305213,0,0.0
synthetic,PSO,13.523680895428704,7.154006128708648,5.708554392001874,0.05634059011936188,33.20965964422012,0,0.0
