season,data_source,day,day_idx,algorithm,run,cost,runtime_s
winter,synthetic,day_000,0,GA (P=100),11,39.03935619175409,1.0655479431152344
winter,synthetic,day_000,0,GA (P=100),12,39.06034071377355,1.035454273223877
winter,synthetic,day_000,0,GA (P=100),13,36.937378947391664,1.108273983001709
winter,synthetic,day_000,0,GA (P=100),14,38.79168542382031,0.9927594661712646
winter,synthetic,day_000,0,GA (P=100),15,38.776264562654596,0.9850540161132812
winter,synthetic,day_000,0,GA (P=100),16,39.1042340374666,0.9904921054840088
winter,synthetic,day_000,0,GA (P=100),17,38.853994018658334,0.967536449432373
winter,synthetic,day_000,0,GA (P=100),18,39.05704070219859,0.95798659324646
winter,synthetic,day_000,0,GA (P=100),19,37.27549862735278,1.1597166061401367
winter,synthetic,day_000,0,PSO,0,38.957898932873476,0.36072826385498047
winter,synthetic,day_000,0,PSO,1,41.10268106173979,0.3503556251525879
winter,synthetic,day_000,0,PSO,2,39.96678045170594,0.3466346263885498
winter,synthetic,day_000,0,PSO,3,37.06355782054001,0.353684663772583
winter,synthetic,day_000,0,PSO,4,40.895101144832594,0.3544161319732666
winter,synthetic,day_000,0,PSO,5,37.601966378465306,0.3571345806121826
winter,synthetic,day_000,0,PSO,6,39.18308441706017,0.35385823249816895
winter,synthetic,day_000,0,PSO,7,40.988922219695816,0.3536708354949951
winter,synthetic,day_000,0,PSO,8,42.671422074261024,0.35327720642089844
winter,synthetic,day_000,0,PSO,9,42.27951093841524,0.3556356430053711
winter,synthetic,day_000,0,PSO,10,36.29236174399409,0.3417072296142578
winter,synthetic,day_000,0,PSO,11,37.19167419095605,0.34971141815185547
winter,synthetic,day_000,0,PSO,12,37.537635494387295,0.3504321575164795
winter,synthetic,day_000,0,PSO,13,41.726373159156886,0.3505265712738037
winter,synthetic,day_000,0,PSO,14,38.572364746424604,0.34557223320007324
winter,synthetic,day_000,0,PSO,15,44.03500490406082,0.34717726707458496
winter,synthetic,day_000,0,PSO,16,36.95765378141295,0.3579435348510742
winter,synthetic,day_000,0,PSO,17,38.35710615434745,0.35124826431274414
winter,synthetic,day_000,0,PSO,18,36.67078701700664,0.3511335849761963
winter,synthetic,day_000,0,PSO,19,41.89242591798913,0.35227322578430176
winter,synthetic,day_000,0,GWO,0,38.056295942403516,0.6143217086791992
winter,synthetic,day_000,0,GWO,1,38.33238734159893,0.6221916675567627
winter,synthetic,day_000,0,GWO,2,37.19264850000366,0.6375365257263184
winter,synthetic,day_000,0,GWO,3,37.52282971220398,0.6332778930664062
winter,synthetic,day_000,0,GWO,4,37.782705487389066,0.6469924449920654
winter,synthetic,day_000,0,GWO,5,36.35928023324594,0.6513280868530273
winter,synthetic,day_000,0,GWO,6,36.77693919391651,0.8602659702301025
winter,synthetic,day_000,0,GWO,7,38.82277778975415,0.6741688251495361
winter,synthetic,day_000,0,GWO,8,40.501694481754896,0.6450035572052002
winter,synthetic,day_000,0,GWO,9,38.465694684974565,0.76914381980896
winter,synthetic,day_000,0,GWO,10,36.19039465205791,0.6718399524688721
winter,synthetic,day_000,0,GWO,11,37.1206980585615,0.6638579368591309
winter,synthetic,day_000,0,GWO,12,37.47074646566068,0.66290283203125
winter,synthetic,day_000,0,GWO,13,37.040505453403206,0.6953635215759277
