dataset,profile_id,algorithm,best_cost_algo,global_best,gap_pct
real_pv,2025-08-22_rep00,GA (P=50),32.23619920809637,27.620857789424214,16.709623769440775
real_pv,2025-08-22_rep00,GWO,27.620857789424214,27.620857789424214,0.0
real_pv,2025-08-22_rep00,Hybrid,30.172242292443542,27.620857789424214,9.237166066232234
real_pv,2025-08-22_rep00,PSO,32.30319437463684,27.620857789424214,16.952176578802447
real_pv,2025-09-01_rep00,GA (P=100),10.652009264632094,10.652009264632094,0.0
real_pv,2025-09-01_rep00,GA (P=50),10.999763700853878,10.652009264632094,3.2646839441248674
real_pv,2025-09-01_rep00,GWO,13.64921028345926,10.652009264632094,28.137424067940024
real_pv,2025-09-01_rep00,Hybrid,13.286535131966346,10.652009264632094,24.732665937818435
real_pv,2025-09-01_rep00,PSO,14.60180583554086,10.652009264632094,37.08029604942692
real_pv,2025-09-25_rep00,GA (P=100),38.24230837984799,35.30549272458724,8.318296753672918
real_pv,2025-09-25_rep00,GA (P=50),39.748777625175094,35.30549272458724,12.58525106878805
real_pv,2025-09-25_rep00,GWO,35.30549272458724,35.30549272458724,0.0
real_pv,2025-09-25_rep00,Hybrid,37.74857595852843,35.30549272458724,6.919838941011556
real_pv,2025-09-25_rep00,PSO,40.519720999585026,35.30549272458724,14.76888685714004
real_pv,2025-11-02_rep00,GA (P=100),29.418024276817125,26.665879783838015,10.320846396914888
real_pv,2025-11-02_rep00,GA (P=50),29.860457800614935,26.665879783838015,11.98002107019671
real_pv,2025-11-02_rep00,GWO,26.665879783838015,26.665879783838015,0.0
real_pv,2025-11-02_rep00,Hybrid,29.096944964025766,26.665879783838015,9.116763443784944
real_pv,2025-11-02_rep00,PSO,29.503833888037885,26.665879783838015,10.64264193455753
real_pv,2025-11-30_rep00,GA (P=100),40.53665259608535,39.61004356876617,2.3393284728079475
real_pv,2025-11-30_rep00,GA (P=50),40.799468927114674,39.61004356876617,3.0028377935347033
real_pv,2025-11-30_rep00,GWO,39.61004356876617,39.61004356876617,0.0
real_pv,2025-11-30_rep00,Hybrid,40.77061940254145,39.61004356876617,2.9300039312785016
real_pv,2025-11-30_rep00,PSO,40.695571671054715,39.61004356876617,2.7405375113424806
real_pv,2025-12-24_rep00,GA (P=100),56.84879157554097,54.205569321515256,4.876292763016523
real_pv,2025-12-24_rep00,GA (P=50),56.10513015666249,54.205569321515256,3.504364697002117
real_pv,2025-12-24_rep00,GWO,54.205569321515256,54.205569321515256,0.0
real_pv,2025-12-24_rep00,Hybrid,56.03898539813978,54.205569321515256,3.38233893590521
real_pv,2025-12-24_rep00,PSO,54.670009599506415,54.205569321515256,0.8568128400751712
real_pv,2025-12-27_rep00,GA (P=100),44.45986503512007,44.45986503512007,0.0
real_pv,2025-12-27_rep00,GA (P=50),46.50365360037071,44.45986503512007,4.596929305993687
real_pv,2025-12-27_rep00,GWO,44.90242489410174,44.45986503512007,0.9954143104620989
real_pv,2025-12-27_rep00,Hybrid,44.68783473261519,44.45986503512007,0.5127539125679133
real_pv,2025-12-27_rep00,PSO,45.47253735000481,44.45986503512007,2.2777224223735817
synthetic,2025-01-14_rep00,GA (P=100),35.21110579037,35.17771156086556,0.09493007936490987
synthetic,2025-01-14_rep00,GA (P=50),35.98411927933501,35.17771156086556,2.292382541858233
synthetic,2025-01-14_rep00,GWO,35.17771156086556,35.17771156086556,0.0
synthetic,2025-01-14_rep00,Hybrid,38.758466543705836,35.17771156086556,10.179044695795385
synthetic,2025-01-14_rep00,PSO,37.002560324068284,35.17771156086556,5.1875141451240765
synthetic,2025-01-22_rep00,GA (P=100),37.97432629604161,34.87554494861877,8.885255705392833
synthetic,2025-01-22_rep00,GA (P=50),34.87554494861877,34.87554494861877,0.0
synthetic,2025-01-22_rep00,GWO,37.03811699121728,34.87554494861877,6.200826526789948
synthetic,2025-01-22_rep00,Hybrid,38.736766152965885,34.87554494861877,11.071429019747333
synthetic,2025-01-22_rep00,PSO,38.28600213317019,34.87554494861877,9.778935897569987
synthetic,2025-03-17_rep00,GA (P=100),9.720176367977968,9.720176367977968,0.0
synthetic,2025-03-17_rep00,GA (P=50),9.805905481649246,9.720176367977968,0.8819707628442083
synthetic,2025-03-17_rep00,GWO,10.93881302774748,9.720176367977968,12.537186708451115
synthetic,2025-03-17_rep00,Hybrid,12.63012746440347,9.720176367977968,29.937225272091123
synthetic,2025-03-17_rep00,PSO,14.555029399371247,9.720176367977968,49.74038379410229
synthetic,2025-03-19_rep00,GA (P=100),14.965715712019836,14.965715712019836,0.0
synthetic,2025-03-19_rep00,GA (P=50),15.83693883739682,14.965715712019836,5.821459809095795
synthetic,2025-03-19_rep00,GWO,16.59732560816513,14.965715712019836,10.902317853905434
synthetic,2025-03-19_rep00,Hybrid,20.32080199430798,14.965715712019836,35.782360062000514
synthetic,2025-03-19_rep00,PSO,19.39622017613039,14.965715712019836,29.60436072065779
synthetic,2025-05-23_rep00,GA (P=100),12.321363927878842,11.328512494365254,8.764181828106604
synthetic,2025-05-23_rep00,GA (P=50),11.328512494365254,11.328512494365254,0.0
synthetic,2025-05-23_rep00,GWO,14.569023380193974,11.328512494365254,28.60491072552097
synthetic,2025-05-23_rep00,Hybrid,15.090199985888889,11.328512494365254,33.20548477183235
synthetic,2025-05-23_rep00,PSO,16.174828119776095,11.328512494365254,42.77980562226131
synthetic,2025-05-30_rep00,GA (P=100),15.587377772788596,15.352066082309616,1.5327688742481707
synthetic,2025-05-30_rep00,GA (P=50),15.352066082309616,15.352066082309616,0.0
synthetic,2025-05-30_rep00,GWO,19.280174645433934,15.352066082309616,25.586839854701125
synthetic,2025-05-30_rep00,Hybrid,17.926840610591896,15.352066082309616,16.771518011386824
synthetic,2025-05-30_rep00,PSO,20.70915651604503,15.352066082309616,34.89491515125453
synthetic,2025-06-12_rep00,GA (P=100),4.593315410457727,4.593315410457727,0.0
synthetic,2025-06-12_rep00,GA (P=50),5.618778875137803,4.593315410457727,22.32512625024887
synthetic,2025-06-12_rep00,GWO,5.196691422699717,4.593315410457727,13.135958631033876
synthetic,2025-06-12_rep00,Hybrid,8.77778201397575,4.593315410457727,91.09904782676459
synthetic,2025-06-12_rep00,PSO,7.920421577331341,4.593315410457727,72.43365344723256
synthetic,2025-06-28_rep00,GA (P=100),4.747401238510583,3.7118742358627914,27.89768555097923
synthetic,2025-06-28_rep00,GA (P=50),3.7118742358627914,3.7118742358627914,0.0
synthetic,2025-06-28_rep00,GWO,4.6063253366860435,3.7118742358627914,24.097020635570505
synthetic,2025-06-28_rep00,Hybrid,3.989015673293568,3.7118742358627914,7.466347719393955
synthetic,2025-06-28_rep00,PSO,8.341409235872378,3.7118742358627914,124.72230211986883
synthetic,2025-08-01_rep00,GA (P=100),4.266267484919685,4.266267484919685,0.0
synthetic,2025-08-01_rep00,GA (P=50),4.841962688095217,4.266267484919685,13.494118807026197
synthetic,2025-08-01_rep00,GWO,5.3375233781823965,4.266267484919685,25.109909230920614
synthetic,2025-08-01_rep00,Hybrid,6.347116102656697,4.266267484919685,48.774452717852526
synthetic,2025-08-01_rep00,PSO,8.254075342035039,4.266267484919685,93.47299179614606
synthetic,2025-08-22_rep00,GA (P=100),3.6977576294446877,3.6977576294446877,0.0
synthetic,2025-08-22_rep00,GA (P=50),5.005530018372814,3.6977576294446877,35.36663350136485
synthetic,2025-08-22_rep00,GWO,5.9237178612264225,3.6977576294446877,60.19756983136949
synthetic,2025-08-22_rep00,Hybrid,7.4072100435064625,3.6977576294446877,100.31626690513194
synthetic,2025-08-22_rep00,PSO,6.453579324183543,3.6977576294446877,74.52683410208914
synthetic,2025-09-01_rep00,GA (P=100),11.728250443246068,11.728250443246068,0.0
synthetic,2025-09-01_rep00,GA (P=50),12.529930879953795,11.728250443246068,6.835464850608089
synthetic,2025-09-01_rep00,GWO,14.222944611320928,11.728250443246068,21.27081255583835
synthetic,2025-09-01_rep00,Hybrid,14.771865533801835,11.728250443246068,25.95114339538151
synthetic,2025-09-01_rep00,PSO,17.445045944851966,11.728250443246068,48.743804788126624
synthetic,2025-09-25_rep00,GA (P=100),14.572536807690696,14.572536807690696,0.0
synthetic,2025-09-25_rep00,GA (P=50),15.565781588442647,14.572536807690696,6.81586736606906
synthetic,2025-09-25_rep00,GWO,15.311674768077836,14.572536807690696,5.072129651073083
synthetic,2025-09-25_rep00,Hybrid,17.891035453747183,14.572536807690696,22.772278359094052
synthetic,2025-09-25_rep00,PSO,15.764588240945194,14.572536807690696,8.180122986847346
synthetic,2025-11-02_rep00,GA (P=100),14.743353574895165,14.743353574895165,0.0
synthetic,2025-11-02_rep00,GA (P=50),15.344273817106822,14.743353574895165,4.075872148885716
synthetic,2025-11-02_rep00,GWO,15.069746484541364,14.743353574895165,2.2138308490399288
synthetic,2025-11-02_rep00,Hybrid,17.436361901550075,14.743353574895165,18.2659142832868
synthetic,2025-11-02_rep00,PSO,17.663966388218956,14.743353574895165,19.809691182465325
synthetic,2025-11-30_rep00,GA (P=100),9.542511147270313,9.542511147270313,0.0
synthetic,2025-11-30_rep00,GA (P=50),11.705656790074874,9.542511147270313,22.66851575223631
synthetic,2025-11-30_rep00,GWO,10.638140426541456,9.542511147270313,11.481561428091586
synthetic,2025-11-30_rep00,Hybrid,12.604642144974346,9.542511147270313,32.08936253911612
synthetic,2025-11-30_rep00,PSO,14.549681712573271,9.542511147270313,52.47225271736323
synthetic,2025-12-24_rep00,GA (P=100),35.43335165048969,35.43335165048969,0.0
synthetic,2025-12-24_rep00,GA (P=50),37.37716916758131,35.43335165048969,5.48584152075237
synthetic,2025-12-24_rep00,GWO,36.34837355001071,35.43335165048969,2.5823746749132415
synthetic,2025-12-24_rep00,Hybrid,39.27110026098978,35.43335165048969,10.830893583669063
synthetic,2025-12-24_rep00,PSO,39.52901045506578,35.43335165048969,11.558767696772202
synthetic,2025-12-27_rep00,GA (P=100),35.2359095011476,33.17322764372103,6.217911261205895
synthetic,2025-12-27_rep00,GA (P=50),34.558993610188644,33.17322764372103,4.177362484316893
synthetic,2025-12-27_rep00,GWO,33.17322764372103,33.17322764372103,0.0
synthetic,2025-12-27_rep00,Hybrid,36.608294412507014,33.17322764372103,10.354936835133742
synthetic,2025-12-27_rep00,PSO,35.65645707998718,33.17322764372103,7.4856431302406445
