season,data_source,day,day_idx,algorithm,run,cost,runtime_s
cloudy,synthetic,day_000,0,GA (P=50),0,15.434901997657281,0.4460468292236328
cloudy,synthetic,day_000,0,GA (P=50),1,15.67766980117602,0.44251179695129395
cloudy,synthetic,day_000,0,GA (P=50),2,16.135606982834013,0.4377772808074951
cloudy,synthetic,day_000,0,GA (P=50),3,14.928298165043536,0.4386310577392578
cloudy,synthetic,day_000,0,GA (P=50),4,15.202824662495935,0.43611955642700195
cloudy,synthetic,day_000,0,GA (P=50),5,15.386578435077496,0.43796563148498535
cloudy,synthetic,day_000,0,GA (P=50),6,15.576650091636248,0.43469691276550293
cloudy,synthetic,day_000,0,GA (P=50),7,15.279982844555173,0.43338727951049805
cloudy,synthetic,day_000,0,GA (P=50),8,15.921391190437966,0.4359099864959717
cloudy,synthetic,day_000,0,GA (P=50),9,15.169733485183409,0.4362204074859619
cloudy,synthetic,day_000,0,GA (P=50),10,15.55540171367786,0.4352152347564697
cloudy,synthetic,day_000,0,GA (P=50),11,15.07677001051549,0.42018771171569824
cloudy,synthetic,day_000,0,GA (P=50),12,15.425797731240097,0.43708372116088867
cloudy,synthetic,day_000,0,GA (P=50),13,15.57443464105824,0.4559059143066406
cloudy,synthetic,day_000,0,GA (P=50),14,14.823680788639777,0.45020127296447754
cloudy,synthetic,day_000,0,GA (P=50),15,15.159451140142686,0.45238614082336426
cloudy,synthetic,day_000,0,GA (P=50),16,15.716051616494777,0.45958781242370605
cloudy,synthetic,day_000,0,GA (P=50),17,15.122772782655579,0.4499475955963135
cloudy,synthetic,day_000,0,GA (P=50),18,15.699000102505396,0.4637281894683838
cloudy,synthetic,day_000,0,GA (P=50),19,15.240112962605824,0.4526529312133789
cloudy,synthetic,day_000,0,GA (P=100),0,15.375935726428294,0.9164102077484131
cloudy,synthetic,day_000,0,GA (P=100),1,14.84682511583661,0.9104278087615967
cloudy,synthetic,day_000,0,GA (P=100),2,15.302607061914845,0.8925962448120117
cloudy,synthetic,day_000,0,GA (P=100),3,15.195463343763967,0.8646500110626221
cloudy,synthetic,day_000,0,GA (P=100),4,15.180658669641694,0.8396177291870117
cloudy,synthetic,day_000,0,GA (P=100),5,15.463196771311557,0.8601438999176025
cloudy,synthetic,day_000,0,GA (P=100),6,15.229052473314518,0.8762881755828857
cloudy,synthetic,day_000,0,GA (P=100),7,14.892529184015098,0.902087926864624
cloudy,synthetic,day_000,0,GA (P=100),8,15.591307475679542,0.8984277248382568
cloudy,synthetic,day_000,0,GA (P=100),9,15.202446834669129,0.9007437229156494
