season,data_source,day,day_idx,algorithm,run,cost,runtime_s
summer,synthetic,day_000,0,GA (P=50),0,6.77178168827011,0.4423956871032715
summer,synthetic,day_000,0,GA (P=50),1,6.642254673194386,0.45811891555786133
summer,synthetic,day_000,0,GA (P=50),2,6.423106123681214,0.4856562614440918
summer,synthetic,day_000,0,GA (P=50),3,7.069459043508813,0.48662614822387695
summer,synthetic,day_000,0,GA (P=50),4,6.535275023511308,0.5059611797332764
summer,synthetic,day_000,0,GA (P=50),5,7.080493531825613,0.4764072895050049
summer,synthetic,day_000,0,GA (P=50),6,6.648211883109717,0.4635484218597412
summer,synthetic,day_000,0,GA (P=50),7,6.266084768396297,0.4594895839691162
summer,synthetic,day_000,0,GA (P=50),8,6.525942223515241,0.4560565948486328
summer,synthetic,day_000,0,GA (P=50),9,6.424740574711208,0.4320096969604492
summer,synthetic,day_000,0,GA (P=50),10,6.180822297778273,0.43971729278564453
summer,synthetic,day_000,0,GA (P=50),11,6.450664352034463,0.44957804679870605
summer,synthetic,day_000,0,GA (P=50),12,6.305552989143772,0.447467565536499
summer,synthetic,day_000,0,GA (P=50),13,6.731669080879952,0.4315299987792969
summer,synthetic,day_000,0,GA (P=50),14,6.872495965365603,0.4542567729949951
summer,synthetic,day_000,0,GA (P=50),15,6.859007928693221,0.44281840324401855
summer,synthetic,day_000,0,GA (P=50),16,6.458324272748958,0.43414998054504395
summer,synthetic,day_000,0,GA (P=50),17,6.1170571885430025,0.43711042404174805
summer,synthetic,day_000,0,GA (P=50),18,6.4834108945915405,0.4300992488861084
summer,synthetic,day_000,0,GA (P=50),19,7.469597038395571,0.4508953094482422
summer,synthetic,day_000,0,GA (P=100),0,6.279136521396945,0.876054048538208
summer,synthetic,day_000,0,GA (P=100),1,6.233091787396546,0.8793644905090332
summer,synthetic,day_000,0,GA (P=100),2,6.312279350886163,0.8782613277435303
summer,synthetic,day_000,0,GA (P=100),3,6.393044137156648,0.8763558864593506
summer,synthetic,day_000,0,GA (P=100),4,6.364679591627651,0.8861632347106934
summer,synthetic,day_000,0,GA (P=100),5,6.093204806733242,0.865969181060791
summer,synthetic,day_000,0,GA (P=100),6,6.247674576867,0.8689031600952148
summer,synthetic,day_000,0,GA (P=100),7,6.193382137823136,0.8612451553344727
summer,synthetic,day_000,0,GA (P=100),8,6.61558413367996,0.8954434394836426
summer,synthetic,day_000,0,GA (P=100),9,6.699538632518301,0.8656344413757324
summer,synthetic,day_000,0,GA (P=100),10,6.012385534198606,0.9040427207946777
summer,synthetic,day_000,0,GA (P=100),11,6.265896502168712,0.9113965034484863
summer,synthetic,day_000,0,GA (P=100),12,6.270214864669024,0.906818151473999
summer,synthetic,day_000,0,GA (P=100),13,6.284106550886237,0.8822870254516602
summer,synthetic,day_000,0,GA (P=100),14,6.208161359178676,0.8723409175872803
summer,synthetic,day_000,0,GA (P=100),15,6.019312590825879,0.8842387199401855
summer,synthetic,day_000,0,GA (P=100),16,6.310936307657562,0.8729763031005859
summer,synthetic,day_000,0,GA (P=100),17,6.305067543626034,0.8729240894317627
summer,synthetic,day_000,0,GA (P=100),18,6.233496833797768,0.858597993850708
summer,synthetic,day_000,0,GA (P=100),19,6.225629128629697,0.886420488357544
summer,synthetic,day_000,0,PSO,0,9.292825466405965,0.3357508182525635
summer,synthetic,day_000,0,PSO,1,8.654777300069128,0.32801032066345215
summer,synthetic,day_000,0,PSO,2,7.707817709762212,0.3226003646850586
summer,synthetic,day_000,0,PSO,3,11.416518469757252,0.33089208602905273
summer,synthetic,day_000,0,PSO,4,9.214048435318247,0.34046339988708496
summer,synthetic,day_000,0,PSO,5,9.27531812591785,0.31684422492980957
summer,synthetic,day_000,0,PSO,6,10.39613585916646,0.3280773162841797
summer,synthetic,day_000,0,PSO,7,8.66901893347084,0.32994675636291504
summer,synthetic,day_000,0,PSO,8,8.508371637383476,0.33611011505126953
summer,synthetic,day_000,0,PSO,9,9.139947086387757,0.3266315460205078
summer,synthetic,day_000,0,PSO,10,12.126697023285919,0.32901573181152344
summer,synthetic,day_000,0,PSO,11,18.689821692550556,0.3362874984741211
summer,synthetic,day_000,0,PSO,12,8.184166313423624,0.3297100067138672
summer,synthetic,day_000,0,PSO,13,7.362011223845094,0.32662272453308105
summer,synthetic,day_000,0,PSO,14,9.485899328262118,0.3341860771179199
summer,synthetic,day_000,0,PSO,15,9.52527486588196,0.34162044525146484
summer,synthetic,day_000,0,PSO,16,14.334892714240581,0.33203864097595215
summer,synthetic,day_000,0,PSO,17,12.09556264809203,0.3422420024871826
summer,synthetic,day_000,0,PSO,18,9.642601288007873,0.3279075622558594
summer,synthetic,day_000,0,PSO,19,8.21093609600283,0.3321876525878906
summer,synthetic,day_000,0,GWO,0,6.752611468741612,0.59763503074646
summer,synthetic,day_000,0,GWO,1,7.759721327113869,0.6582138538360596
summer,synthetic,day_000,0,GWO,2,6.667078110531794,0.6076829433441162
summer,synthetic,day_000,0,GWO,3,7.496289838870429,0.6140258312225342
summer,synthetic,day_000,0,GWO,4,6.906099915423937,0.5997693538665771
summer,synthetic,day_000,0,GWO,5,7.422147383884029,0.6281394958496094
summer,synthetic,day_000,0,GWO,6,7.409860328414944,0.5894796848297119
summer,synthetic,day_000,0,GWO,7,9.02822360749316,0.637230634689331
summer,synthetic,day_000,0,GWO,8,7.983354015388654,0.6252250671386719
summer,synthetic,day_000,0,GWO,9,6.968383338937776,0.5880651473999023
summer,synthetic,day_000,0,GWO,10,8.259981398004669,0.5921840667724609
summer,synthetic,day_000,0,GWO,11,7.568173532638107,0.5831685066223145
summer,synthetic,day_000,0,GWO,12,6.305845507789625,0.5851819515228271
summer,synthetic,day_000,0,GWO,13,7.093796992005838,0.5948853492736816
summer,synthetic,day_000,0,GWO,14,8.002597135812483,0.6009838581085205
summer,synthetic,day_000,0,GWO,15,7.161653269181971,0.5874502658843994
summer,synthetic,day_000,0,GWO,16,8.3633880325402,0.6138103008270264
summer,synthetic,day_000,0,GWO,17,6.374217671594032,0.597177267074585
summer,synthetic,day_000,0,GWO,18,7.309905615386413,0.6235263347625732
summer,synthetic,day_000,0,GWO,19,8.013987139631002,0.6066129207611084
summer,synthetic,day_000,0,Hybrid,0,9.060213854832181,0.37722134590148926
